URL,company_name,headquarters,industry,total_rating,highest_score_name,highest_score_point,course_name,duration,start_date,entry_deadline,catch_phrase
/2026/company/r505110024/internship/,株式会社プリントパック,京都,印刷関連／機械／広告／出版／インターネット関連,4.73,業界の理解,4.71,■プリントパックがまるっとわかる｜1day仕事体験,1日,10/26(WEB),10月25日,■成長を続けるプリントパックがまるっと分かる｜1day仕事体験
/2026/company/r108010082/internship/,株式会社ベネッセスタイルケア,東京,福祉・介護／教育関連／人材サービス（人材紹介・人材派遣）／ホテル／食品,4.82,事業内容の理解,4.58,【関東：先着順・選考なし】サクッと参加★先輩座談会,1日,10月随時(東京)、10月随時(WEB),10月22日,【web/対面】各エリアで「1・2・5days」イベント開催★先着順・選考なし
/2026/company/r713400078/internship/,セキスイハイム東海株式会社,静岡,住宅／建設／建材・エクステリア／不動産／建設コンサルタント,4.72,人事とのやりとり,4.79,【秋冬開催】住宅業界が知れる2days仕事体験,2、3日程度,10/20、11/4(静岡),10月21日,住宅メーカーが開催するNo.1のオープン・カンパニー＆キャリア教育等！
/2026/company/r946300084/internship/,小松ウオール工業株式会社,石川,建材・エクステリア／その他製造／建設／文具・事務機器・インテリア／建築設計,4.47,社員からのアドバイス,4.67,空間デザインのプロへ！間仕切り業界の『営業職』,1日,10/23(茨城)、10/23(栃木)、10/23(群馬)、10/23(埼玉)、10/23(千葉)、10/23(東京)、10/23(神奈川)、10/23(愛知)、10/23(大阪)、10/23(WEB),10月18日,国内トップクラスの間仕切メーカーの仕事を知る！秋の仕事体験
/2026/company/r173542083/internship/,株式会社JERA,東京,電力・電気／ガス／エネルギー,4.68,業界の理解,4.64,JERA LIVE SEMINAR,1日,10月随時(WEB),10月21日,JERA BUSINESS WORK
/2026/company/r400092011/internship/,日本マクドナルド株式会社,東京,外食・レストラン・フードサービス,N/A,N/A,N/A,90分でお届け☆McDonald`s Business Forum,1日,10月随時(WEB),10月23日,予約スタート！McDonald's Business Forum
/2026/company/r569400047/internship/,株式会社LIXIL,東京,建材・エクステリア／金属製品／設備・設備工事関連／住宅／ガラス・セラミックス,N/A,N/A,N/A,【1dayイベント】障がいのある方対象,1日,10/23(WEB),10月21日,毎日10億人以上の人びとの暮らしを支えるLIXILの仕事を体感しよう！
/2026/company/r298700022/internship/,株式会社一条工務店,東京、静岡,不動産／建設／建材・エクステリア／住宅／建築設計,4.83,業界の理解,4.78,【秋】就活準備＆営業実践コース（全学部対象）,2、3日程度,12月随時、1月随時(東京)、1月随時(愛知)、12月随時、1月随時(大阪)、1月随時(福岡)、11月随時(WEB),10月20日,「お客様の夢を叶える仕事がここにある。」
/2026/company/r848700015/internship/,株式会社ソフトクリエイトホールディングス,東京,ソフトウェア／情報処理／インターネット関連／広告／商社（総合）,4.82,業界の理解,4.63,ECシステム開発＆生成AI開発を体験！1Day仕事体験,1日,10月随時、11月随時、12月随時、1月随時(東京),10月22日,【選考なし/報酬あり】　営業＆企画プレゼン体験/ECシステム＆AI開発体験！
/2026/company/r983010015/internship/,ディップ株式会社,東京,広告／インターネット関連／人材サービス（人材紹介・人材派遣）／その他商社／コンサルタント・専門コンサルタント,1.85,事業内容の理解,4.15,【オープンカンパニー】,1日,10月随時、11月随時、1月随時、2月随時、3月随時(WEB),10月21日,【オープンカンパニー】人材業界を革新するメガベンチャー | ディップ 会社説明会
